id;start_date;end_date;language
1;2023-12-13T01:03:21;2023-12-12T17:46:11;FRENCH
2;2023-12-12T22:00:09;2023-12-12T08:36:26;SPANISH
3;2023-12-13T06:12:34;2023-12-12T13:51:33;SPANISH
4;2023-12-12T06:18:16;2023-12-13T05:07:07;ENGLISH
5;2023-12-12T10:20:06;2023-12-12T14:18:09;FRENCH
6;2023-12-13T02:25:52;2023-12-12T23:16:57;SPANISH
7;2023-12-13T02:53:51;2023-12-13T05:04:32;ENGLISH
8;2023-12-12T19:51:29;2023-12-13T00:42:22;SPANISH
9;2023-12-13T03:45:49;2023-12-12T15:56:58;SPANISH
10;2023-12-12T17:34:00;2023-12-12T15:27:13;ENGLISH
