id;street_address;postal_code;city;state_province
1;the;whether;Weberboro;an zealous
2;greedy if;whenever interesting absentmindedly;Kubstad;yowza frail after
3;who made-up local;blah;North Gerryborough;woot
4;searchingly kaleidoscopic usual;indeed lipstick;New Justenfield;off
5;hidden but watery;after;Delano;yum aha
6;whoa radiant;brave what celebrate;Port Destineeburgh;modify ritual backbone
7;lynx list;classic justly;East Lucinda;easy
8;well-lit;regarding;South Christinefield;but protest jaggedly
9;spot amid;park what;Yuma;whoa down delectable
10;instead via as;finally fast reanimate;Trevorcester;deadly unique ack
