id;purpuse_name;policy_name;charges_type;interest_rate;number_of_installments;penalty_rate_of_interest;installment_duration
1;positively snob;phooey;thunderous;30607.94;3366;20716.36;12888
2;yuck;anti emotional up;supposing;20287.02;18380;24821.13;17026
3;mow;dandle absentmindedly;dutiful wow which;11824.93;13744;16212.68;4151
4;ferociously;correctly even;minus sturdy for;3983.15;20882;28587.92;4493
5;er;whoever onto;squawk recklessly;26118.61;32679;25032.58;27179
6;triumphantly questionably;fairly mail;stab;4251.78;19187;6388.77;4256
7;whereas pirouette greatly;anxiously wobble aside;huzzah;7169.44;4964;18333.98;1785
8;ha;even plus;encounter alfalfa meh;23861.72;12677;31874.03;3150
9;hospice vent;once bah fibrosis;worriedly;25967.74;25433;732.52;30727
10;yahoo pro upon;fitting psst;crop;28164.93;5454;4489.54;17015
