id;installment_number;reducing_balance;principle_amount;interest;total_installment;due_date;remarks
1;12061;18410.76;20735.8;20214.35;7396.47;6096;ha
2;9181;21044.18;5363.12;20755.18;6107.68;14855;hmph that
3;6413;17143.75;6925.38;26568.13;25903.97;28609;ah brave zowie
4;31528;3337.94;26330.44;22904.19;27475.17;21560;fixed
5;17651;12688.36;7975.63;15214.87;26266.22;12253;yowza bustling wonderfully
6;22076;1155.73;31672.59;4105.65;16741.85;27057;via blank
7;13392;2971.75;24348.23;8869.55;28890.01;21862;hilarious despite
8;11383;3021.28;30858.26;13061.95;10883.99;22680;procrastinate
9;22641;28575.65;12134.73;23098.69;16317.58;31783;drat yuck blackboard
10;26346;17108.67;19924.03;10938.03;18570.51;15424;stretch across anenst
